City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
saint-philippe,90,RE,1580008370,83,-21.36,55.77,75.2,6.93
punta arenas,75,CL,1580008363,70,-53.15,-70.92,48.2,25.28
bredasdorp,68,ZA,1580008363,87,-34.53,20.04,59.0,13.87
atuona,74,PF,1580008374,77,-9.8,-139.03,80.74,13.8
balikpapan,40,ID,1580008846,83,-1.27,116.83,84.2,4.7
saint-denis,62,FR,1580008846,93,48.92,2.33,41.0,3.36
hambantota,40,LK,1580008677,88,6.12,81.12,77.0,12.75
jibuti,1,DJ,1580008450,61,11.5,42.5,82.4,7.2
varna,2,BG,1580008585,64,43.22,27.92,39.0,2.24
lebu,0,CL,1580008847,85,-37.62,-73.65,61.23,7.78
saint-imier,27,CH,1580008847,92,47.15,7.0,35.01,0.2
castro,0,BR,1580008719,93,-24.79,-50.01,61.63,2.84
inhambane,22,MZ,1580008848,80,-23.86,35.38,77.94,9.93
vila velha,75,BR,1580008848,94,-20.33,-40.29,71.6,2.24
pangai,3,TO,1580008553,84,-19.8,-174.35,80.31,11.3
khatanga,22,RU,1580008421,96,71.97,102.5,-23.94,2.64
yar-sale,83,RU,1580008457,100,66.83,70.83,-8.99,3.53
kyra,0,RU,1580008545,71,49.58,111.98,7.29,2.35
grebenskaya,0,RU,1580008849,85,43.53,46.37,24.8,3.09
mildura,0,AU,1580008849,30,-34.2,142.15,88.0,6.93
ushuaia,75,AR,1580008186,75,-54.8,-68.3,46.4,23.04
mataura,64,NZ,1580008417,58,-46.19,168.86,77.65,0.58
isangel,75,VU,1580008465,83,-19.55,169.27,78.8,5.82
wick,100,GB,1580008850,75,58.43,-3.08,46.4,18.34
saskylakh,99,RU,1580008184,93,71.92,114.08,-20.51,16.46
constitucion,0,CL,1580008443,67,-35.33,-72.42,63.21,5.7
airai,48,TL,1580008384,63,-8.93,125.41,82.2,3.29
hermanus,83,ZA,1580008416,98,-34.42,19.23,57.0,7.0
kiri buru,14,IN,1580008852,35,22.08,85.35,61.43,4.14
nikolskoye,20,RU,1580008420,86,59.7,30.79,30.99,4.47
tasiilaq,100,GL,1580008418,79,65.61,-37.64,28.4,31.09
emba,100,KZ,1580008778,95,48.83,58.14,28.69,21.34
sinnamary,100,GF,1580008568,83,5.38,-52.95,79.95,18.81
busselton,97,AU,1580008416,28,-33.65,115.33,91.0,5.23
boundiali,0,CI,1580008855,13,9.52,-6.49,66.38,2.28
fortuna,90,US,1580008419,87,40.6,-124.16,59.0,10.29
hithadhoo,100,MV,1580008429,77,-0.6,73.08,82.49,9.75
bethel,90,US,1580008414,100,41.37,-73.41,46.99,3.36
rikitea,0,PF,1580008419,77,-23.12,-134.97,79.11,10.22
jamestown,90,US,1580008210,97,42.1,-79.24,34.0,6.93
jaque,56,PA,1580008856,90,7.52,-78.17,69.75,4.9
arraial do cabo,0,BR,1580008713,82,-22.97,-42.03,75.16,6.76
kalengwa,32,ZM,1580008857,98,-13.47,25.0,62.4,2.73
port hardy,90,CA,1580008795,81,50.7,-127.42,46.4,23.04
antalaha,100,MG,1580008794,81,-14.9,50.28,80.38,18.25
alta floresta,100,BR,1580008612,96,-9.88,-56.09,71.01,3.47
tuktoyaktuk,90,CA,1580008429,75,69.45,-133.04,-13.0,25.28
new norfolk,40,AU,1580008711,35,-42.78,147.06,71.6,18.34
shitanjing,76,CN,1580008858,71,39.23,106.34,28.29,3.15
port elizabeth,20,ZA,1580008696,88,-33.92,25.57,68.0,23.04
port alfred,80,ZA,1580008716,98,-33.59,26.89,66.99,8.01
kapaa,40,US,1580008261,65,22.08,-159.32,78.8,6.93
teya,60,RU,1580008716,86,60.38,92.63,9.73,9.82
dikson,100,RU,1580008419,95,73.51,80.55,-5.84,5.39
tarauaca,0,BR,1580008859,87,-8.16,-70.77,74.12,2.1
albany,90,US,1580008215,100,42.6,-73.97,39.2,3.36
madisonville,90,US,1580008714,80,37.33,-87.5,36.0,5.03
hobyo,100,SO,1580008479,81,5.35,48.53,77.79,10.33
ostrovnoy,100,RU,1580008425,98,68.05,39.51,1.87,10.38
pombal,96,BR,1580008860,78,-6.77,-37.8,79.34,6.17
yellowknife,90,CA,1580008368,85,62.46,-114.35,10.4,6.93
hofn,82,IS,1580008449,86,64.25,-15.21,38.97,16.04
san quintin,0,MX,1580008718,85,30.48,-115.95,59.31,4.99
bambous virieux,75,MU,1580008468,83,-20.34,57.76,77.0,13.87
ilulissat,92,GL,1580008376,46,69.22,-51.1,6.8,10.29
kodiak,90,US,1580008432,61,57.79,-152.41,17.6,19.46
visnes,100,NO,1580008862,100,59.36,5.22,44.01,13.87
hilo,90,US,1580008249,57,19.73,-155.09,80.6,3.36
luderitz,0,NA,1580008419,88,-26.65,15.16,66.2,11.41
kavieng,48,PG,1580008425,72,-2.57,150.8,84.87,11.7
porto torres,100,IT,1580008863,93,40.84,8.4,46.0,3.36
salisbury,36,GB,1580008466,100,51.07,-1.8,46.99,8.05
nuuk,100,GL,1580008536,85,64.18,-51.72,14.0,8.05
chokurdakh,100,RU,1580008438,86,70.63,147.92,-22.23,5.99
kaitangata,5,NZ,1580008421,66,-46.28,169.85,68.0,10.45
lapeer,90,US,1580008782,97,43.05,-83.32,34.0,5.82
vaini,75,TO,1580008210,88,-21.2,-175.2,80.6,13.87
klaksvik,100,FO,1580008477,93,62.23,-6.59,44.6,19.46
evensk,100,RU,1580008424,87,61.95,159.23,15.19,21.16
bluff,57,NZ,1580008428,52,-46.6,168.33,66.49,8.52
chuy,3,UY,1580008413,80,-33.7,-53.46,65.59,5.46
bilma,58,NE,1580008445,17,18.69,12.92,59.02,11.01
cortez,1,US,1580008868,92,37.35,-108.59,30.0,5.82
luganville,20,VU,1580008449,66,-15.53,167.17,86.0,6.93
east london,75,ZA,1580008945,88,-33.02,27.91,69.8,11.41
upernavik,100,GL,1580008945,94,72.79,-56.15,-14.24,7.61
gisborne,0,NZ,1580008945,69,-38.65,178.0,81.0,5.01
iqaluit,20,CA,1580008929,66,63.75,-68.51,-29.0,14.99
grakhovo,40,RU,1580008945,85,56.05,51.97,24.8,6.71
ellensburg,75,US,1580008854,86,47.0,-120.55,43.0,4.7
mar del plata,0,AR,1580008436,59,-38.0,-57.56,66.2,8.05
milton,75,US,1580008946,74,34.13,-84.3,39.2,8.05
samarai,79,PG,1580008420,74,-10.62,150.67,84.76,4.03
adrar,100,MR,1580008419,23,20.5,-10.07,73.99,10.58
marovoay,40,MG,1580009025,94,-16.1,46.63,75.2,8.05
solnechnyy,0,RU,1580009025,91,50.72,136.63,-3.3,4.47
sao filipe,21,CV,1580009025,63,14.9,-24.5,73.94,18.75
puerto ayora,54,EC,1580009025,32,-0.74,-90.35,77.0,3.0
beloha,0,MG,1580009025,85,-25.17,45.05,67.44,10.22
saldanha,83,ZA,1580008957,93,-33.01,17.94,59.0,3.36
dwarahat,0,IN,1580009026,43,29.78,79.43,43.0,2.77
zhuhai,40,CN,1580008454,93,22.28,113.57,62.01,18.34
charters towers,100,AU,1580008736,57,-20.1,146.27,86.95,8.32
farsund,100,NO,1580009026,86,58.09,6.8,45.0,8.99
saint-pierre,90,RE,1580009026,83,-21.34,55.48,75.2,6.93
victoria,40,HK,1580008915,87,22.29,114.16,64.0,10.29
avarua,100,CK,1580009027,83,-21.21,-159.78,84.2,11.41
hobart,40,AU,1580009027,35,-42.88,147.33,71.6,18.34
coahuayana,75,MX,1580009027,93,18.73,-103.68,66.2,3.67
dunedin,0,NZ,1580008446,66,-45.87,170.5,68.0,24.14
san patricio,5,MX,1580008474,78,19.22,-104.7,77.0,5.82
rawson,0,AR,1580008438,42,-43.3,-65.1,72.3,20.87
andenes,44,NO,1580009028,58,69.31,16.12,24.8,27.51
diamantina,100,BR,1580009028,98,-18.25,-43.6,64.71,4.59
qaqortoq,89,GL,1580009028,72,60.72,-46.03,10.4,6.93
butaritari,100,KI,1580008914,72,3.07,172.79,85.51,9.89
te anau,100,NZ,1580009028,79,-45.42,167.72,63.37,7.38
husavik,90,IS,1580009029,92,66.04,-17.34,26.6,12.75
semey,94,KZ,1580009029,84,50.41,80.23,3.2,6.71
georgetown,20,MY,1580008785,66,5.41,100.34,86.0,6.93
sola,63,VU,1580008466,75,-13.88,167.55,83.3,10.25
albacete,75,ES,1580009029,100,38.83,-2.0,42.8,5.82
alofi,22,NU,1580008971,83,-19.06,-169.92,82.4,9.17
vila franca do campo,40,PT,1580009030,82,37.72,-25.43,57.2,4.7
havre,90,FR,1580009030,100,49.58,0.33,42.8,5.82
milkovo,100,RU,1580009030,94,54.72,158.62,22.1,0.58
cape town,40,ZA,1580008770,82,-33.93,18.42,62.01,5.82
alice springs,0,AU,1580009031,10,-23.7,133.88,95.0,14.99
taoudenni,10,ML,1580008447,26,22.68,-3.98,67.41,4.63
zonguldak,19,TR,1580009031,49,41.25,31.83,30.74,4.65
iquitos,75,PE,1580009031,83,-3.75,-73.25,78.8,6.93
sharan,87,RU,1580009031,98,54.82,54.0,13.26,3.71
danane,0,CI,1580009031,19,7.26,-8.15,67.44,1.68
lyndon,90,US,1580009032,74,38.26,-85.6,35.6,5.82
aykhal,100,RU,1580008443,74,66.0,111.5,-27.4,6.71
barrow,90,US,1580008941,75,71.29,-156.79,-20.2,10.29
grindavik,90,IS,1580009032,72,63.84,-22.43,37.4,16.11
hasaki,75,JP,1580009032,93,35.73,140.83,43.0,8.05
green river,40,US,1580008908,74,41.53,-109.47,30.2,23.04
skibbereen,75,IE,1580009033,93,51.55,-9.27,48.2,19.46
namibe,69,AO,1580008431,74,-15.2,12.15,74.68,12.53
vredendal,1,ZA,1580009033,94,-31.67,18.5,59.76,6.8
provideniya,0,RU,1580009033,69,64.38,-173.3,-5.44,3.4
akyab,0,MM,1580009033,50,20.15,92.9,63.48,6.6
beringovskiy,100,RU,1580009033,85,63.05,179.32,14.74,5.86
falmouth,33,GB,1580009034,81,50.15,-5.07,51.01,17.22
ovsyanka,40,RU,1580009034,68,55.96,92.55,24.8,4.47
wanning,100,CN,1580008613,86,18.8,110.4,62.89,11.99
narsaq,96,GL,1580009034,72,60.92,-46.05,10.4,6.93
magistralnyy,100,RU,1580009034,90,56.17,107.45,16.47,6.31
mezhdurechensk,100,RU,1580009034,93,53.69,88.06,20.88,5.75
iquique,90,CL,1580009035,88,-20.22,-70.14,73.4,2.24
yulara,0,AU,1580008437,9,-25.24,130.99,93.2,10.29
nanortalik,100,GL,1580009035,75,60.14,-45.24,23.34,16.98
belaya gora,100,RU,1580009035,98,68.53,146.42,-24.92,3.42
bridgetown,75,BB,1580008987,83,13.1,-59.62,77.0,1.12
sibay,100,RU,1580009036,95,52.72,58.67,23.77,14.72
amapa,100,BR,1580009036,99,1.0,-52.0,73.42,2.82
bengkulu,100,ID,1580009036,58,-3.8,102.27,87.44,2.1
novikovo,34,RU,1580009036,90,51.15,37.89,28.78,12.03
vilhena,20,BR,1580009036,94,-12.74,-60.15,75.2,3.36
conde,20,BR,1580009037,88,-7.26,-34.91,80.6,5.82
mae ramat,14,TH,1580009037,68,16.98,98.52,82.0,1.45
mehriz,90,IR,1580008454,55,31.59,54.43,37.4,9.17
ponta do sol,40,PT,1580009037,71,32.67,-17.1,57.2,5.82
bastia,75,FR,1580009037,93,42.67,9.33,46.4,4.7
herat,40,AF,1580009037,86,34.5,62.0,33.8,2.24
qaanaaq,55,GL,1580008929,43,77.48,-69.36,-12.03,4.43
ribeira grande,99,PT,1580009038,74,38.52,-28.7,54.21,5.59
komsomolskiy,75,UZ,1580009038,86,40.43,71.72,37.4,4.7
labuan,75,MY,1580008933,88,5.28,115.24,82.4,1.12
dom pedrito,81,BR,1580008992,47,-30.98,-54.67,73.96,5.26
dorado,75,PR,1580009039,78,18.46,-66.27,78.8,6.93
thompson,90,CA,1580008948,92,55.74,-97.86,15.8,2.24
zhezkazgan,90,KZ,1580009039,92,47.8,67.71,17.6,20.13
kirkkonummi,75,FI,1580009039,93,60.17,24.42,37.99,14.99
banda aceh,75,ID,1580008218,56,5.56,95.32,83.68,5.64
bautzen,91,DE,1580009040,100,51.18,14.43,32.0,3.36
bourges,96,FR,1580009040,100,47.25,2.42,39.0,4.7
vestmanna,100,FO,1580009040,93,62.16,-7.17,44.6,14.99
yago,100,MX,1580009040,95,21.83,-105.07,65.97,2.04
sarakhs,90,IR,1580009041,100,36.54,61.16,33.8,5.66
mananjary,50,MG,1580009041,67,-21.22,48.33,76.86,8.23
mahebourg,75,MU,1580009044,83,-20.41,57.7,78.01,13.87
chara,46,RU,1580008926,84,56.91,118.26,0.79,2.66
gornopravdinsk,97,RU,1580009045,98,60.05,69.9,-7.06,5.61
cidreira,74,BR,1580009045,68,-30.18,-50.21,75.56,14.32
dakar,97,SN,1580009045,73,14.69,-17.44,71.6,21.92
sabana grande de boya,40,DO,1580009045,94,18.95,-69.79,77.0,4.7
bay city,90,US,1580009046,86,43.59,-83.89,34.0,5.82
tilichiki,100,RU,1580009046,85,60.47,166.1,26.33,17.07
oussouye,50,SN,1580009046,50,12.48,-16.55,70.66,7.05
lac du bonnet,88,CA,1580009046,92,50.25,-96.06,23.0,5.99
cayenne,90,GF,1580009046,94,4.93,-52.33,75.2,9.17
pevek,100,RU,1580009047,96,69.7,170.31,-9.44,0.45
margate,90,GB,1580008263,100,51.38,1.39,46.0,10.29
fairbanks,1,US,1580008354,74,64.84,-147.72,-9.99,6.04
rio gallegos,0,AR,1580008457,53,-51.62,-69.22,50.0,20.8
corn island,43,NI,1580009047,72,12.17,-83.04,79.81,14.12
nan,82,TH,1580009047,82,18.83,100.67,57.2,1.12
cururupu,98,BR,1580008454,96,-1.83,-44.87,75.2,2.21
kandete,98,TZ,1580009048,98,-9.15,33.8,56.7,1.19
gouyave,20,GD,1580009048,83,12.16,-61.73,78.8,5.82
buchanan,14,LR,1580009048,96,5.88,-10.05,75.02,1.86
rocha,0,UY,1580008226,78,-34.48,-54.33,60.19,4.52
blackfoot,90,US,1580009048,86,43.19,-112.34,37.4,11.23
ossora,100,RU,1580009048,87,59.24,163.07,32.81,30.65
port macquarie,32,AU,1580009049,52,-31.43,152.92,91.0,13.87
martapura,40,ID,1580009049,70,-3.42,114.85,87.8,2.24
champerico,38,GT,1580009049,85,14.3,-91.92,75.31,4.12
bandarbeyla,52,SO,1580009049,81,9.49,50.81,78.28,20.22
correntina,100,BR,1580008467,96,-13.34,-44.64,68.94,4.12
cockburn town,0,TC,1580009049,74,21.46,-71.14,76.39,12.33
longyearbyen,7,SJ,1580008916,70,78.22,15.64,-2.2,2.24
batemans bay,0,AU,1580008457,81,-35.72,150.18,93.99,1.99
taltal,0,CL,1580009050,83,-25.4,-70.48,67.77,1.72
portland,90,US,1580008465,81,45.52,-122.68,54.0,6.82
atar,100,MR,1580009050,24,20.52,-13.05,70.45,9.01
ewa beach,20,US,1580008798,65,21.32,-158.01,82.4,9.17
sonoita,19,MX,1580009051,60,31.85,-112.83,55.99,5.46
ixtapa,90,MX,1580009051,94,20.7,-105.2,71.6,3.36
souillac,75,MU,1580009051,83,-20.52,57.52,78.01,13.87
kandrian,51,PG,1580009051,66,-6.22,149.55,87.1,7.18
geraldton,15,AU,1580008923,58,-28.77,114.6,82.4,12.75
cabo san lucas,75,MX,1580009052,77,22.89,-109.91,69.01,4.7
superior,100,US,1580008656,86,46.72,-92.1,30.2,5.82
luan,19,CH,1580009052,86,46.36,6.98,35.01,6.93
torbay,5,CA,1580009052,78,47.67,-52.73,19.99,13.87
novyy urgal,70,RU,1580009053,88,51.07,132.56,-15.86,1.39
east stroudsburg,90,US,1580008847,93,41.0,-75.18,39.99,13.87
keti bandar,0,PK,1580009043,84,24.14,67.45,69.67,9.19
ivanteyevka,40,RU,1580008963,86,55.97,37.92,30.2,11.18
xuddur,100,SO,1580009053,70,4.12,43.89,74.37,15.73
carnarvon,13,AU,1580008919,58,-24.87,113.63,84.2,19.46
buston,90,TJ,1580009054,98,40.52,69.33,32.0,17.9
tiksi,0,RU,1580009054,67,71.69,128.87,-28.1,5.19
ketchikan,90,US,1580009054,87,55.34,-131.65,46.4,23.04
pali,0,IN,1580009054,36,25.77,73.33,64.49,3.56
panguipulli,40,CL,1580009054,88,-39.63,-72.33,64.4,5.82
ginir,100,ET,1580009055,81,7.13,40.7,60.08,0.81
iberia,90,US,1580008819,87,29.95,-91.75,55.99,3.36
kushiro,20,JP,1580009055,48,42.98,144.37,17.6,5.82
pringsewu,100,ID,1580009055,73,-5.36,104.97,83.5,2.01
cairns,100,AU,1580008953,79,-16.92,145.77,90.0,8.05
sibolga,0,ID,1580009056,63,1.74,98.78,86.38,1.19
sao domingos,100,BR,1580009056,94,-13.4,-46.32,70.93,2.15
castelfranco veneto,75,IT,1580009056,100,45.68,11.93,45.0,3.36
russell,1,US,1580008939,86,32.35,-85.2,46.4,4.41
preobrazheniye,0,RU,1580009056,30,42.9,133.91,25.66,2.08
axim,53,GH,1580008451,92,4.87,-2.24,74.59,1.61
burns lake,0,CA,1580009057,93,54.23,-125.75,23.99,3.83
yangliuqing,100,CN,1580009057,58,39.14,117.0,33.01,4.47
raudeberg,100,NO,1580009057,93,61.99,5.14,45.0,23.04
ust-karsk,0,RU,1580009057,78,52.7,118.81,8.02,1.79
road town,20,VG,1580009057,78,18.42,-64.62,77.0,4.7
malaya vishera,74,RU,1580009057,82,58.85,32.22,29.16,6.64
chiredzi,74,ZW,1580009058,77,-21.05,31.67,67.98,1.88
muriti,100,TZ,1580009058,74,-1.98,32.92,71.42,7.2
suntar,100,RU,1580009058,94,62.14,117.63,7.9,8.12
lompoc,90,US,1580009054,93,34.64,-120.46,57.99,6.93
esperance,95,AU,1580009058,44,-33.87,121.9,80.6,5.82
pisco,90,PE,1580008953,83,-13.7,-76.22,73.4,17.22
kalianget,15,ID,1580009059,68,-7.05,113.93,85.71,6.8
bereda,35,ES,1580009059,100,43.27,-7.54,46.99,6.93
leningradskiy,98,RU,1580008927,96,69.38,178.42,-12.55,4.12
kautokeino,14,NO,1580009059,94,69.01,23.04,2.03,7.56
bergama,75,TR,1580009059,75,39.12,27.18,48.2,4.54
cherskiy,100,RU,1580009060,96,68.75,161.3,-17.93,2.71
aswan,0,EG,1580009060,66,24.09,32.91,50.0,5.82
fort saint james,0,CA,1580009060,95,54.43,-124.25,23.49,3.85
kruisfontein,89,ZA,1580009060,87,-34.0,24.73,64.71,22.73
pervomayskoye,0,RU,1580009060,69,43.92,46.71,34.43,10.2
vanimo,61,PG,1580009061,82,-2.67,141.3,83.39,16.02
sajanan,20,TN,1580009063,87,37.06,9.24,46.4,6.93
umm kaddadah,24,SD,1580009064,32,13.6,26.69,51.08,13.15
dalbandin,0,PK,1580009043,80,28.89,64.41,49.73,4.88
faanui,62,PF,1580009065,72,-16.48,-151.75,83.16,8.79
luebo,14,CD,1580009065,81,-5.35,21.42,70.86,1.83
maceio,75,BR,1580009065,94,-9.67,-35.74,77.0,5.82
zaozerne,18,UA,1580009065,60,45.16,33.28,44.87,8.55
rock sound,18,BS,1580009066,66,24.9,-76.2,73.17,3.2
kahului,20,US,1580008807,57,20.89,-156.47,82.4,14.99
leh,100,IN,1580009066,89,34.17,77.58,-4.67,4.21
bayburt,0,TR,1580009066,56,40.26,40.23,12.69,1.59
bara,0,NG,1580009066,25,10.37,10.73,55.71,7.67
rongcheng,100,CN,1580009066,97,30.63,117.85,39.63,3.62
sorland,100,NO,1580009067,74,67.67,12.69,35.04,29.84
